symbol,price,price_change,price_percent_change
STNE,,-0.29,-2.55
SRAD,,-0.12,-0.53
ADMA,,-1.16,-5.60
FMCC,,0.41,8.78
HCM,,0.18,1.11
SMTC,,-0.53,-1.29
HIMS,,-0.64,-1.91
AUR,,-0.12,-1.61
HOOD,,-0.81,-1.90
BBAR,,-0.13,-0.67
WRBY,,-0.37,-1.95
FIVE,,3.27,4.32
GEO,,0.42,1.51
APP,,-0.83,-0.28
PTEN,,-0.14,-1.66
MIRM,,-0.25,-0.52
GLNG,,-0.24,-0.66
DJTWW,,-0.3,-2.31
ECG,,2.27,6.02
FNMA,,0.0,0.00
EAT,,-0.36,-0.25
OWL,,-0.3,-1.40
RCL,,-2.48,-1.15
CZR,,-0.22,-0.76
IESC,,-2.42,-1.28
MOD,,-1.7,-1.94
APH,,-0.91,-1.35
CLSK,,-0.08,-1.00
CAVA,,1.32,1.62
PKX,,2.32,4.35
DRI,,10.1,5.37
W,,-0.67,-2.10
FIX,,-6.99,-1.94
VRT,,-2.31,-2.59
HGV,,1.92,5.30
GEV,,-5.4,-1.61
OSIS,,-0.74,-0.36
TEO,,0.54,5.23
AXON,,-7.62,-1.34
BROS,,-1.07,-1.61
XPEV,,-1.33,-5.59
FRO,,-0.3,-1.81
WBD,,-0.13,-1.21
CELH,,-0.27,-0.85
CUK,,-0.25,-1.32
FMCKI,,0.45,5.03
RMBS,,-0.81,-1.42
SKY,,4.38,4.81
USLM,,-1.38,-1.44
COIN,,-2.75,-1.45
RDNT,,-0.3,-0.59
PAYO,,-0.07,-0.85
CRGY,,-0.02,-0.17
SHAK,,-1.06,-1.18
MMYT,,-0.43,-0.43
TBBK,,-0.34,-0.63
IOT,,0.17,0.43
ADT,,-0.01,-0.06
EXPE,,-1.16,-0.67
GSAT,,-0.22,-1.01
CIVI,,-0.58,-1.62
VST,,-2.73,-2.10
DNB,,0.36,4.32
RSI,,-0.15,-1.35
MKSI,,-0.89,-0.98
DUOL,,-0.96,-0.32
MTDR,,-0.67,-1.27
YOU,,-0.33,-1.19
VRNA,,-0.38,-0.57
BNT,,-0.16,-0.30
MGY,,-0.24,-0.94
CASY,,-2.45,-0.61
JBL,,4.68,3.36
OVV,,-0.43,-1.02
AVPT,,-0.09,-0.60
NU,,-0.34,-2.80
PR,,-0.15,-1.03
GVA,,-0.93,-1.21
RRX,,-0.95,-0.77
REZI,,0.66,3.79
NRG,,-1.01,-1.02
ZETA,,-0.1,-0.66
ATGE,,3.57,3.72
AAL,,-0.13,-1.13
WING,,-0.55,-0.26
BWXT,,-1.39,-1.36
ACVA,,0.44,3.01
ANF,,2.88,3.61
FUN,,-0.34,-0.91
BRPHF,,0.42,3.52
FNMAJ,,0.34,3.50
GTLB,,-0.99,-1.90
CEG,,-1.9,-0.87
VAC,,2.23,3.40
CFLT,,-0.33,-1.21
CACC,,-7.82,-1.56
FLEX,,0.27,0.76
KGS,,-0.29,-0.76
ATI,,-0.15,-0.29
FNMAS,,0.37,3.29
CRWD,,-3.12,-0.83
FICO,,59.38,3.27
FLUT,,0.9,0.37
DECK,,-0.56,-0.47
SWTX,,-0.15,-0.30
ZI,,-0.05,-0.46
ADSK,,-0.99,-0.37
GENI,,-0.11,-1.14
CKHUY,,0.18,3.17
NFLX,,-10.98,-1.14
APA,,-0.27,-1.32
OMF,,-0.52,-1.05
ESE,,4.92,3.15
GLW,,-0.69,-1.42
GLBE,,-0.5,-1.33
NTRA,,-2.58,-1.71
CWST,,-0.38,-0.34
CAKE,,-0.51,-1.07
AS,,0.88,3.11
CSAN,,-0.05,-0.88
RUSHA,,0.46,0.84
FNMAT,,0.32,3.09
SPXC,,-3.43,-2.46
ACHR,,-0.14,-1.68
GBTG,,0.23,3.07
CAMT,,-1.1,-1.71
AXP,,-1.75,-0.65
TKO,,4.38,3.01
MAR,,-1.88,-0.76
